Date,Name,Year,Letterboxd URI,Rating
2021-11-23,Thoroughbreds,2017,https://boxd.it/dVHQ,5
2021-11-28,Legally Blonde,2001,https://boxd.it/1ZNa,5
2021-11-29,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2021-12-02,West Side Story,1961,https://boxd.it/28dK,5
2021-12-03,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,4
2021-12-04,Never Been Kissed,1999,https://boxd.it/1U3c,2
2021-12-05,Casablanca,1942,https://boxd.it/2aG0,4
2021-12-08,The Wizard of Oz,1939,https://boxd.it/29Xu,5
2021-12-12,Monica and Friends: Bonds,2019,https://boxd.it/gqea,4
2021-12-16,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,4
2021-12-17,Spencer,2021,https://boxd.it/qPMG,5
2021-12-18,The French Dispatch,2021,https://boxd.it/jLP8,5
2021-12-18,Lars and the Real Girl,2007,https://boxd.it/21tG,5
2021-12-19,The Amazing Spider-Man,2012,https://boxd.it/27PI,4
2021-12-21,Sorry to Bother You,2018,https://boxd.it/f21E,5
2021-12-26,Don't Look Up,2021,https://boxd.it/o0Hc,3
2021-12-27,Moonrise Kingdom,2012,https://boxd.it/2Wng,5
2021-12-28,August 32nd on Earth,1998,https://boxd.it/hY2,4
2021-12-31,Together,2021,https://boxd.it/y1t6,4
2021-12-31,Phineas and Ferb: The Movie: Candace Against the Universe,2020,https://boxd.it/lTrs,3.5
2021-12-31,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny,4
2021-12-31,Us,2019,https://boxd.it/gnV6,4.5
2021-12-31,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,4
2021-12-31,"Love, Simon",2018,https://boxd.it/g02s,5
2021-12-31,Death Note,2017,https://boxd.it/bOS4,3.5
2021-12-31,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4
2021-12-31,West Side Story,2021,https://boxd.it/iwt0,5
2021-12-31,The Humans,2021,https://boxd.it/lEQM,5
2021-12-31,Annette,2021,https://boxd.it/f0RS,5
2021-12-31,C'mon C'mon,2021,https://boxd.it/nrI0,5
2021-12-31,In the Heights,2021,https://boxd.it/gLhu,2.5
2022-01-01,Marighella,2019,https://boxd.it/i3RC,4
2022-01-01,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,5
2022-01-02,Looper,2012,https://boxd.it/ham,4
2022-01-02,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,5
2022-01-02,Luca,2021,https://boxd.it/ipjC,4
2022-01-02,Tenet,2020,https://boxd.it/leq4,2
2022-01-02,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,3
2022-01-02,Black Widow,2021,https://boxd.it/hWV8,3
2022-01-02,Candyman,2021,https://boxd.it/kHFg,4
2022-01-02,Eternals,2021,https://boxd.it/j36o,4
2022-01-02,Last Night in Soho,2021,https://boxd.it/lbJC,4
2022-01-02,Dune,2021,https://boxd.it/fA7G,5
2022-01-02,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4
2022-01-02,What We Do in the Shadows,2014,https://boxd.it/7eQy,4
2022-01-02,Nina Wu,2019,https://boxd.it/lXAI,4
2022-01-04,Isle of Dogs,2018,https://boxd.it/dZrW,5
2022-01-05,Solaris,1972,https://boxd.it/2a2Y,5
2022-01-06,Monica and Friends: Lessons,2021,https://boxd.it/oFi8,5
2022-01-07,Frank,2014,https://boxd.it/5hII,4
2022-01-07,The Space Between Us,2017,https://boxd.it/cF0u,3
2022-01-08,Encanto,2021,https://boxd.it/kPRu,3
2022-01-09,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2022-01-15,What Do We See When We Look at the Sky?,2021,https://boxd.it/tWcQ,5
2022-01-17,The Time Traveler's Wife,2009,https://boxd.it/1xH4,1
2022-01-19,The Darjeeling Limited,2007,https://boxd.it/24as,4
2022-01-22,Happythankyoumoreplease,2010,https://boxd.it/Lgk,5
2022-01-25,Rushmore,1998,https://boxd.it/1TAO,5
2022-01-29,Scream,2022,https://boxd.it/o0lg,5
2022-01-31,Scream,1996,https://boxd.it/24EC,5
